N,theta,body_reduce_ms,build_tree_ms,compute_cmass_ms,compute_forces_ms,apply_forces_ms,barnes_hut_ms
2000000,0.25,0.084544,4.33782,7.68336,2398.12,1.1383,2486
2000000,0.5,0.067584,4.36563,7.67062,520.706,1.1401,607
2000000,1,0.068832,4.36435,7.57606,131.675,1.13955,219
5000000,0.25,0.153536,12.6876,20.1917,6814.89,2.89382,7051
5000000,0.5,0.15408,12.7375,20.2782,1429,2.8984,1665
5000000,1,0.153696,12.7877,20.1098,348.447,2.88995,583
