N,theta,brute_force_ms,barnes_hut_ms,speedup,avg_rel_error_pct
5000,0.5,4,1,4,2.65344
50000,0.5,43,4,10.75,0.214668
500000,0.5,2404,46,52.2609,0.0674969
5000000,0.5,252766,598,422.686,0.0631967
