N,theta,brute_force_ms,brute_force_mem_ms,barnes_hut_ms,barnes_hut_mem_ms,speedup,avg_rel_error_pct
5000,0.5,3.59149,0.302,0.886688,0.359,4.05045,2.65344
50000,0.5,42.4069,1.315,2.43597,1.857,17.4087,0.214668
500000,0.5,2470.48,12.923,26.3457,22.148,93.772,0.0674968
5000000,0.5,258425,131.361,412.385,145.212,626.66,0.0631969
